"cell","spue","effort","target"
"8544052bfffffff",0,5,0
"8544053bfffffff",0,1,0
"85440573fffffff",0,7,0
"85440687fffffff",0,2,0
"854406c3fffffff",0,1,0
"8544083bfffffff",0,12,0
"854d4a07fffffff",0.5,2,1
"854d56b3fffffff",0,1,0
"855e433bfffffff",0.125,8,1
"855e4607fffffff",0,5,0
"855e5ca7fffffff",0.0769230769230769,13,1
"855e6677fffffff",0.2,10,2
"8566125bfffffff",0,3,0
"8544e5affffffff",0,26,0
"85450a53fffffff",0,3,0
"85441d97fffffff",0,7,0
"85441ea7fffffff",0,27,0
"8544282bfffffff",0,4,0
"85442963fffffff",0,4,0
"854429c7fffffff",0,3,0
"854429cffffffff",0,1,0
"85442d2ffffffff",0.125,8,1
"85443243fffffff",0,13,0
"85456517fffffff",0,1,0
"85447507fffffff",0,4,0
"8566b293fffffff",0,4,0
"856c3107fffffff",0,2,0
"856c3297fffffff",0,1,0
"856d425bfffffff",0,4,0
"856d438ffffffff",0,2,0
"856d4c03fffffff",0,4,0
"856d4ccbfffffff",0,1,0
"856d4d07fffffff",0,3,0
"856d4d8bfffffff",0,3,0
"856d4dd3fffffff",0,2,0
"856d4e43fffffff",0,3,0
"856d5187fffffff",0,4,0
"856d6a1bfffffff",0,1,0
"856d6bcbfffffff",0,9,0
"856d6bcffffffff",0,3,0
"85448d33fffffff",0,18,0
"855e4b43fffffff",0,1,0
"8544b58bfffffff",0,2,0
"8548946ffffffff",0,2,0
"85489627fffffff",0,1,0
"8548962bfffffff",0,1,0
"854ce247fffffff",0,1,0
"854ce32ffffffff",0,1,0
"85451a53fffffff",0,1,0
"85454bcbfffffff",0,2,0
"8566b68ffffffff",0,2,0
"85675637fffffff",0,1,0
"856c2463fffffff",0,2,0
"856d0833fffffff",0,1,0
"856d1163fffffff",0,1,0
"856d5003fffffff",0,7,0
"856d634bfffffff",0,5,0
"856d634ffffffff",0,6,0
"85448a37fffffff",0,2,0
"855f4973fffffff",0,3,0
"855f4bb7fffffff",0,4,0
"8544b017fffffff",0,2,0
"85489637fffffff",0,1,0
"85454a37fffffff",0,3,0
"85454ba7fffffff",0,7,0
"85459667fffffff",0,2,0
"85459d3bfffffff",0,2,0
"85459d6bfffffff",0,3,0
"85440aa3fffffff",0,2,0
"85440b83fffffff",0,1,0
"85440b93fffffff",0,3,0
"85440bd3fffffff",0,10,0
"85445493fffffff",0,5,0
"854454cbfffffff",0,9,0
"854465bbfffffff",0,2,0
"856c05cbfffffff",0,1,0
"856c2517fffffff",0,3,0
"856c3317fffffff",0,4,0
"856d012bfffffff",0,1,0
"856d026ffffffff",0,1,0
"856d0b53fffffff",0,2,0
"856d101bfffffff",0,2,0
"856d1423fffffff",0,2,0
"856d1b07fffffff",0,1,0
"856d1c0bfffffff",0,2,0
"856d1e2bfffffff",0,2,0
"856d442bfffffff",0,1,0
"856d44a7fffffff",0,1,0
"856d4e5bfffffff",0,5,0
"856d537bfffffff",0,2,0
"856d5603fffffff",0,4,0
"854488affffffff",0,2,0
"8544012bfffffff",0,2,0
"854403d3fffffff",0,4,0
"854403d7fffffff",0,2,0
"85440633fffffff",0,6,0
"854ce847fffffff",0,2,0
"855e40dbfffffff",0.333333333333333,3,1
"8566110bfffffff",0,2,0
"8544b383fffffff",0,1,0
"854890a3fffffff",0,3,0
"8548920ffffffff",0,3,0
"8548923bfffffff",0,2,0
"8548926bfffffff",0,2,0
"85489277fffffff",0,1,0
"8548927bfffffff",0,1,0
"85489283fffffff",0,2,0
"8548928bfffffff",0,1,0
"854892d7fffffff",0,2,0
"8548948ffffffff",0,1,0
"8548b22bfffffff",0,3,0
"8548b22ffffffff",0,1,0
"8548b27bfffffff",0,2,0
"8549928ffffffff",0,3,0
"854cc54bfffffff",0.8,5,4
"8545722ffffffff",0,1,0
"85458827fffffff",0,3,0
"85489043fffffff",0,2,0
"8548904bfffffff",0,2,0
"85489073fffffff",0,4,0
"8548908ffffffff",0,2,0
"8544092bfffffff",0,76,0
"85440a27fffffff",0,1,0
"85440a2ffffffff",0,1,0
"85440a73fffffff",0,1,0
"85440bc7fffffff",0,2,0
"85441003fffffff",0,1,0
"85441007fffffff",0,2,0
"85441017fffffff",0,2,0
"8544103bfffffff",0,1,0
"85441043fffffff",0,1,0
"8544110bfffffff",0,3,0
"85441157fffffff",0,2,0
"854411b3fffffff",0,5,0
"85441213fffffff",0,1,0
"85441293fffffff",0,1,0
"854413bbfffffff",0,1,0
"85441573fffffff",0,1,0
"854415c3fffffff",0,2,0
"85441617fffffff",0,1,0
"8544509bfffffff",0,10,0
"8544540bfffffff",0,2,0
"85445437fffffff",0,1,0
"85445457fffffff",0,3,0
"85445467fffffff",0,5,0
"8544547bfffffff",0,2,0
"85445483fffffff",0,2,0
"854454d7fffffff",0,2,0
"854455cffffffff",0,1,0
"8544564bfffffff",0,1,0
"8544565bfffffff",0,1,0
"854456a3fffffff",0,1,0
"854456cffffffff",0,2,0
"854456dbfffffff",0,3,0
"8544600ffffffff",0,1,0
"85446037fffffff",0,1,0
"8544603bfffffff",0,1,0
"85446043fffffff",0,1,0
"854460a3fffffff",0,1,0
"85446187fffffff",0,1,0
"854461a3fffffff",0,3,0
"85446393fffffff",0,1,0
"854463c7fffffff",0,1,0
"8544650ffffffff",0,2,0
"85446667fffffff",0,2,0
"85446ccbfffffff",0,456,0
"85446e03fffffff",0,2,0
"85446e9bfffffff",0,3,0
"8544717bfffffff",0,1,0
"854471dbfffffff",0,1,0
"8544722ffffffff",0,1,0
"8544737bfffffff",0,3,0
"8544738bfffffff",0,2,0
"85447563fffffff",0,1,0
"856756affffffff",0,1,0
"856d0003fffffff",0,2,0
"856d006bfffffff",0,1,0
"856d0197fffffff",0,2,0
"856d0e67fffffff",0,1,0
"856d1477fffffff",0,1,0
"856d2a2ffffffff",0.333333333333333,3,1
"856d2a5bfffffff",0,4,0
"856d2b3bfffffff",0,1,0
"856d2b63fffffff",0,3,0
"856d465bfffffff",0,1,0
"856d4897fffffff",0,3,0
"856d4e4ffffffff",0,3,0
"856d51cffffffff",0,6,0
"856d6233fffffff",0,1,0
